3www,Who-What-Where
admn,Admin
affd,Affected population
agri,Agriculture
assm,Assessment / survey / field visit
bldg,Building
carto,Cartographic
cccm,Camp Coordination and Management
educ,Education
elev,Elevation
envi,Environmental aspects
evnt,Event characteristics
heal,Health
imgy,Imagery
land,LandUse
logs,Logistics
nutr,Nutrition
phys,Physical
pois,Points of Interest
popu,Population
prot,Security Safety and Protection
rcvy,Early Recovery
scan,Map scans
scty,Security and safety
situ,Situation and Damage
stle,Settlements
telc,Emergency Telecommunications
tran,Transport
usar,Search and Rescue / evacuation planning
util,Utilities
wash,Water Sanitation and Hygiene
